Time,Region,u10,v10,t2m
2020-01-31,N. PIERIAS,0.56245327,0.4650259,284.82422
2020-02-01,N. PIERIAS,-0.14369011,1.5555725,287.3081
2020-02-02,N. PIERIAS,-0.18202496,0.7123718,287.8883
2020-02-03,N. PIERIAS,0.4455862,0.6751585,288.03564
2020-02-04,N. PIERIAS,0.14964962,2.4453154,288.52356
2020-02-05,N. PIERIAS,3.2879667,-3.2313442,278.34326
2020-02-06,N. PIERIAS,1.596837,-4.433819,275.60474
2020-02-07,N. PIERIAS,1.3199348,-2.540349,279.46545
2020-02-08,N. PIERIAS,-1.7502737,1.7446566,279.19507
2020-02-09,N. PIERIAS,-1.012824,1.084136,281.5758
2020-02-10,N. PIERIAS,-0.14503956,1.1486492,284.33875
2020-02-11,N. PIERIAS,0.28731537,1.154501,288.9331
2020-02-12,N. PIERIAS,-0.9778385,0.15571499,282.2987
2020-02-13,N. PIERIAS,-1.2030163,1.2012329,283.76855
2020-02-14,N. PIERIAS,-0.8850775,0.8752965,282.93323
